For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['linear', 5], 'tanh'], R is -3.97
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['linear', 5], 'linear'], R is -8.51
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['linear', 5], 'relu'], R is -5.30
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['linear', 10], 'tanh'], R is -1.72
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['linear', 10], 'linear'], R is -3.69
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['linear', 10], 'relu'], R is -2.86
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['linear', 10], 'tanh'], R is -4.29
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['linear', 10], 'linear'], R is -13.14
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['linear', 10], 'relu'], R is -0.21
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['linear', 10], 'tanh'], R is -15.02
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['linear', 10], 'linear'], R is -88.74
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['linear', 10], 'relu'], R is -3.97
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['linear', 10], 'tanh'], R is -47.51
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['linear', 10], 'linear'], R is -104.74
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['linear', 10], 'relu'], R is -15.00
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['linear', 10], 'tanh'], R is 0.03
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 5], ['linear', 10], 'linear'], R is -0.53
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 5], ['linear', 10], 'relu'], R is -3.70
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 10], ['linear', 10], 'tanh'], R is -0.71
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 10], ['linear', 10], 'linear'], R is -9.54
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 10], ['linear', 10], 'relu'], R is -12.68
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 18], ['linear', 10], 'tanh'], R is -3.73
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 18], ['linear', 10], 'linear'], R is -16.72
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 18], ['linear', 10], 'relu'], R is -5.67
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 50], ['linear', 10], 'tanh'], R is -6.03
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 50], ['linear', 10], 'linear'], R is -20.52
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['linear', 50], ['linear', 10], 'relu'], R is -0.88
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 5], ['linear', 10], 'tanh'], R is -0.32
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 5], ['linear', 10], 'linear'], R is -10.41
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 5], ['linear', 10], 'relu'], R is -79.45
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 10], ['linear', 10], 'tanh'], R is -4.03
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 10], ['linear', 10], 'linear'], R is -11.39
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 10], ['linear', 10], 'relu'], R is -1.58
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 18], ['linear', 10], 'tanh'], R is -6.94
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 18], ['linear', 10], 'linear'], R is -38.70
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 18], ['linear', 10], 'relu'], R is -4.56
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 50], ['linear', 10], 'tanh'], R is -8.49
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 50], ['linear', 10], 'linear'], R is -86.83
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['relu', 50], ['linear', 10], 'relu'], R is -12.75
The best_R for now is 0.0250 and combination is [['linear', 5], ['linear', 10], 'tanh'] For this combination [['tanh', 5], ['linear', 18], 'tanh'], R is 0.34
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['linear', 18], 'linear'], R is -0.99
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['linear', 18], 'relu'], R is -0.16
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['linear', 18], 'tanh'], R is -7.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['linear', 18], 'linear'], R is -12.39
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['linear', 18], 'relu'], R is -4.39
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['linear', 18], 'tanh'], R is -25.19
