For this combination [['linear', 100], ['linear', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.25
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'linear'], R is -0.34
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'tanh'], R is -0.24
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'relu'], R is -423.10
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'linear'], R is -0.01
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'tanh'], R is 0.14
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'linear'], R is -0.08
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'tanh'], R is -0.06
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['tanh', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'linear'], R is -0.26
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'tanh'], R is 0.14
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 100], ['linear', 100], ['linear', 120], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'linear'], R is -0.11
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'tanh'], R is -0.05
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['relu', 120], ['linear', 100], ['linear', 120], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 100], ['linear', 100], ['linear', 120], ['linear', 120], 'linear'], R is -1.19
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 100], ['linear', 100], ['linear', 120], ['linear', 120], 'tanh'], R is -0.19
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 100], ['linear', 100], ['linear', 120], ['linear', 120], 'relu'], R is -35.62
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 120], ['linear', 120], 'linear'], R is 0.04
The best_R for now is 0.2921 and combination is [['tanh', 120], ['linear', 100], ['linear', 100], ['relu', 120], 'linear'] For this combination [['linear', 120], ['linear', 100], ['linear', 120], ['linear', 120], 'tanh'], R is 0.14
