The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'elu'], R is -4.80
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.34
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'softplus'], R is 0.16
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['relu', 100], 'selu'], R is -1.09
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'linear'], R is 0.25
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.27
The best_R for now is 0.2651 and combination is [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.10
The best_R for now is 0.2651 and combination is [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'elu'], R is 0.19
The best_R for now is 0.2651 and combination is [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.33
The best_R for now is 0.2651 and combination is [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'softplus'], R is 0.12
The best_R for now is 0.2651 and combination is [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 100], ['relu', 100], 'selu'], R is 0.15
The best_R for now is 0.2651 and combination is [['tanh', 100], ['linear', 100], ['relu', 100], 'tanh'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'linear'], R is 0.27
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.13
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'elu'], R is 0.20
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.32
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'softplus'], R is -0.01
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['relu', 100], ['linear', 100], ['relu', 100], 'selu'], R is -0.46
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'linear'], R is 0.08
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'tanh'], R is 0.24
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'elu'], R is 0.22
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'softmax'], R is -45.36
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'softplus'], R is 0.04
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['elu', 100], ['linear', 100], ['relu', 100], 'selu'], R is -7.69
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'linear'], R is -1513.47
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'tanh'], R is -361.95
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'relu'], R is -0.07
The best_R for now is 0.2723 and combination is [['relu', 100], ['linear', 100], ['relu', 100], 'linear'] For this combination [['softmax', 100], ['linear', 100], ['relu', 100], 'elu'], R is -318.66
