For this combination [['linear', 50], ['linear', 50], ['linear', 50], 'linear'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['linear', 120], 'linear'], R is 0.02
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['linear', 120], 'tanh'], R is 0.13
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['linear', 120], 'linear'], R is -0.74
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['linear', 120], 'tanh'], R is 0.15
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['linear', 120], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 50], 'linear'], R is -1.58
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 50], 'tanh'], R is -2.21
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 50], ['linear', 50], ['tanh', 50], 'relu'], R is -0.10
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 50], 'linear'], R is -0.69
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 50], 'tanh'], R is -0.61
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 100], ['linear', 50], ['tanh', 50], 'relu'], R is -0.12
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 50], 'linear'], R is -0.96
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 50], 'tanh'], R is -2.52
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['linear', 120], ['linear', 50], ['tanh', 50], 'relu'], R is -0.86
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 50], 'linear'], R is 0.13
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 50], 'tanh'], R is -0.33
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 50], ['linear', 50], ['tanh', 50], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 50], 'linear'], R is -0.87
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 50], 'tanh'], R is 0.17
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 100], ['linear', 50], ['tanh', 50], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 50], 'linear'], R is -0.27
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 50], 'tanh'], R is -0.17
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['tanh', 120], ['linear', 50], ['tanh', 50], 'relu'], R is -0.07
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['tanh', 50], 'linear'], R is -0.49
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['tanh', 50], 'tanh'], R is -3.33
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 50], ['linear', 50], ['tanh', 50], 'relu'], R is -0.24
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['tanh', 50], 'linear'], R is -0.24
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['tanh', 50], 'tanh'], R is -0.74
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 100], ['linear', 50], ['tanh', 50], 'relu'], R is -0.24
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['tanh', 50], 'linear'], R is 0.13
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['tanh', 50], 'tanh'], R is -0.63
The best_R for now is 0.2668 and combination is [['linear', 50], ['linear', 50], ['linear', 100], 'tanh'] For this combination [['relu', 120], ['linear', 50], ['tanh', 50], 'relu'], R is -0.07
